|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
U968-4|3|3|1|1|||0|0|3|3|0|0|0|0|||0,2|1|0|0|||||2|2|0|0|0|0|||9,2
U968-5|1|1|||||0|0|3|3|2|2|0|0|||0,2|1|0|0|||||4|4|0|0|0|0|||10,2
U968-6|||1|1|||1|1|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||5
U968-7|1,9|2|||||4|4|3|3|0|0|1|1|0,5|1|0|0|0|0|||||8|8|0|0|0|0|1|1|19,4
U968-8|||1|1|||6|6|14|14|1|1|0|0|2|4|0|0|0|0|||1|1|3|3|0|0|0|0|||28
U968-9|||||||0|0|0|0|0|0|0|0|||0,5|1|0|0|||||0|0|0|0|0|0|||0,5
U970-1|2|2|1|1|||0|0|2|2|0|0|2|2|||0,8|3|0|0|||||1,8|2|0|0|3|3|||12,6
U970-12|1|1|||||0|0|1|1|0|0|2|2|||1,65|6|1|1|||||0,8|1|0|0|0|0|||7,45
U970-13|3|3|||||1|1|2|2|0|0|0|0|||0,6|2|0|0|||||0,8|1|0|0|1|1|||8,4
U970-14|||||||0|0|0|0|0|0|1|1|||1,5|5|1|1|||||0|0|0|0|0|0|||3,5
U970-15|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U970-2|||||||0|0|5|5|0|0|1|1|||4,1|14|0|0|||3|3|1|1|0|0|2|2|||16,1
U970-3|1|1|||||0|0|2|2|0|0|2|2|||2,55|10|1|1|||1|1|0|0|0|0|2|2|||11,55
U970-4|1|1|||||1|1|1|1|0|0|0|0|||9,45|23|0|0|||||1,8|2|0|0|4,8|5|1,4|2|20,45
U970-5|4|4|||||0|0|3|3|0|0|1|1|||2,1|5|0|0|||||1,8|2|0|0|3|3|||14,9
U970-6|1|1|||||0|0|3|3|0|0|1|1|0,5|1|1,25|5|0|0|||||4|4|0|0|1|1|||11,75
U970-7|||||||0|0|1|1|0|0|2|2|||1,4|5|0,2|1|||||1|1|0|0|0|0|||5,6
U970-8|3|3|||||0|0|3|3|0|0|1|1|||0,6|2|1|1|||||1|1|0|0|1|1|||10,6
U970-9|1|1|||||0|0|4|4|0|0|1|1|0,5|1|4,65|13|0,5|1|||1|1|2,1|3|0|0|1|1|||15,75
U973-1|||1|1|||0|0|4|4|0|0|0|0|3|6|0|0|0,5|1|||||1|1|0|0|0|0|||9,5
U973-2|2|2|||||0|0|1|1|0|0|2|2|||0|0|0|0|||||1|1|0|0|0|0|||6
U973-3|1|1|||||0|0|1|1|0|0|0|0|1|2|0|0|0|0|1|1|1|1|0|0|0|0|1|1|||6
U974-1|4|4|||||1|1|3|3|0|0|1|1|0,1|1|0,4|4|1,5|2|||||3,2|4|0|0|0|0|||14,2
U974-2|2|2|||||1|1|3|3|0|0|1|1|||0|0|2|2|||||1|1|0|0|0|0|||10
U974-3|2|2|3|3|||2|2|5|5|1|1|0|0|||0,4|2|1|1|||||1|1|0|0|0|0|||15,4
U974-4|3|3|1|1|||0|0|2|2|0|0|0|0|0,5|1|0|0|0|1|||||1|1|1|1|2|2|||10,5
U974-5|||1|1|||0|0|3|3|0|0|0|0|||0|0|2|2|||||4|4|0|0|1|1|||11
U974-6|1|1|||||1|1|3|3|0|0|0|0|||0|0|0|0|||||3|3|0|0|0|0|||8
U974-7|||1|1|||0|0|3|3|0|0|0,05|1|||0|0|1|2|||||1|1|0|0|1|1|||7,05
U974-8|||||||3|3|2|2|0|0|0|0|||0,8|4|1|1|||||1|1|0|0|0|0|||7,8
U976-1|4|4|2|2|||0|0|0|0|1|1|1|1|||0,6|2|0,3|3|||||3,6|4|0|0|0|0|||12,5
U976-2|2|2|||||0|0|0|0|0|0|0|0|||1,8|6|0|0|||||4|4|0|0|0|0|||7,8
U976-3|3|3|||||0|0|2|2|0|0|0|0|||1,5|5|0|0|1|1|||4|4|0|0|0|0|||11,5
U978-1|3|3|||||1|1|4|4|0|0|0|0|2|4|1,4|7|0|0|||1|1|3|3|0|0|0|0|||15,4
U979-1|2|2|3|3|||0|0|6|6|1|1|4|4|3,5|7|0|0|1|1|||1|1|0|0|0|0|0|0|||21,5
U979-2|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U981-1|3|3|2|2|||10|10|8|8|0|0|1|1|1|2|7,25|8|3|3|||||21|21|0|0|2|2|1|1|59,25
U981-2|1|1|1|1|||0|0|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||4
U981-3|||||||2|2|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|1|1|||5
U981-4|||||||0|0|0|0|0|0|0|0|||1|1|0|0|||||0|0|0|0|0|0|||1
U987-1|1|1|||||0|0|1|1|0|0|1|1|||3,1|8|0|0|1|1|||2|2|0|0|0|0|||9,1
U988-1|9,8|10|9|9|||8|8|24|24|0|0|1|1|5|10|0|0|2|7|2|2|||9,8|10|0|0|1|1|||71,6
U992-1|2|2|||||8|8|6|6|0|0|2|2|1|1|0,3|1|1|1|1|1|||2|2|0|0|4|4|||27,3
U992-2|0,8|1|1|1|||1|1|0|0|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||4,8
U992-3|1|1|1|1|||1|1|1|1|0|0|0|0|||0|0|0,5|1|0,5|1|||0,8|1|0|0|0|0|||5,8
U992-4|||||||0|0|3|3|0|0|0|0|||0|0|1|1|1|1|||0|0|0|0|0|0|||5
U992-5|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U993-1|1|1|1|1|2|2|7|7|4|4|0|0|0|0|||0|0|0|1|||||3|3|0|0|0|0|||18
U994-1|1|1|||||2|2|0|0|0|0|0|0|||0|0|1|1|||||3|3|0|0|0|0|||7
U995-1|||||||0|0|3|3|0|0|0|0|0,5|1|2,15|8|0|0|||2|2|1|1|0|0|0|0|||8,65
U995-2|||||||0|0|4|4|0|0|0|0|5|9|0|0|0,5|1|||3|3|2,8|3|0|0|0|0|0,9|1|16,2
U995-3|5|5|||||1|1|8|8|0|0|0|0|3,25|7|5,6|16|2|3|||1|1|15,8|17|0|0|3|3|||44,65
U995-4|||||||0|0|0|0|0,3|1|0|0|||2,8|6|0|1|||1|1|4,5|5|0|0|0|0|||8,6
U996-1|3|3|||||1|1|6|6|0|0|0|0|1|2|1,35|5|1|2|||||0|0|0|0|2|2|||15,35
U996-2|||||||0|0|5|5|0|0|0|0|1,5|3|1,2|4|0|0|||||4,5|5|0|0|1|1|||13,2
U996-3|1|1|||||0|0|2|2|0|0|2|2|0,5|1|1,2|5|0|0|||||0|0|0|0|1|1|||7,7
U997-1|1|1|23|23|||9|9|1,5|2|0|0|1|1|13,5|27|0,6|2|3|4|||||5,8|6|0|0|0|0|||58,4
U999-1|4|4|0,5|1|||2|2|6|6|1|1|2|2|0,5|1|2,1|4|2|3|||1|1|3|3|0|0|1|1|||25,1
U999-2|||||||0|0|1,5|2|0|0|0|0|||8,3|22|5|5|||0,75|1|4|4|0|0|0|0|||19,55
U1000-1|3,3|4|||||0,2|1|3|3|0|0|1|1|||0,35|2|3,15|4|||1|1|0,7|1|0|0|2|2|||14,7
U1001-1|||1|1|||0|0|2|2|0|0|0|0|||0,3|1|0|0|1|1|||3,8|4|0|0|0|0|||8,1
U1001-2|2|2|||||3|3|3|3|0|0|1|1|||0|0|0|0|1|1|||3,8|4|0|0|0|0|||13,8
U1003-1|3|3|||||0|0|5|5|0|0|0|0|4|7|0,6|2|0|0|1|1|||3|3|0|0|0|0|||16,6
U1007-1|1|1|2|2|||2|2|2,5|3|0|0|0|0|0,5|1|1,15|5|0|0|||||4|4|0|0|0|0|||13,15
U1008-1|||||||0|0|16|16|0|0|0|0|4|8|2,1|5|1|2|||1|1|3|4|0|0|0|0|||27,1
U1011-1|1|1|||||2|2|10,5|11|0|0|1|1|4,9|10|2,7|6|0|0|||1|1|7,8|8|0|0|3|3|||33,9
U1011-2|||||||0|0|1|1|0|0|1|1|1|2|4,7|11|2,2|4|||||4,95|9|0|0|0|0|||14,85
U1011-3|1|1|||||1|1|2|2|0|0|2|2|0,5|1|0,2|1|1|1|1|1|||2|2|1|1|2|2|||13,7
U1011-4|1|1|1|1|||4|4|0|0|0|0|2|2|1|2|0|0|0|0|1|1|||4|4|0|0|0|0|||14
U1015-1|||||||1|1|0|0|1|1|1|1|||0,65|2|0|0|||||1,5|2|0|0|0|0|||5,15
U1015-2|||||||0|0|0|0|1|1|0|0|||0|0|0|0|||||1|1|0|0|0|0|||2
U1016-1|||1|1|||1|1|2|2|0|0|0|0|||0|0|0|0|||||1|1|0|0|1|1|||6
U1016-10|2|2|1,8|2|||1|1|1|1|0|0|1|1|||0,2|1|0|0|||||3|3|0|0|0|0|||10
U1016-11|2|2|5|5|||0|0|2|2|0|0|1|1|||0|0|0|0|||||3|3|0|0|1|1|||14
U1016-12|1|1|1|1|||0|0|1|1|0|0|1|1|||0,95|4|0|0|||||3|3|0|0|0|0|||7,95
U1016-13|||2|2|||0|0|2|2|0|0|2|2|||0|0|0|0|||||0|0|0|0|0|0|||6
U1016-14|1|1|1|1|||1|1|1|1|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||6
U1016-15|1|1|2|2|||0|0|2|2|0|0|1|1|||3,2|8|0|0|||||1|1|0|0|1|1|||11,2
U1016-16|2|2|2|2|||1|1|3|3|0|0|0|0|||0,3|1|0|0|||||2|2|0|0|1|1|||11,3
U1016-17|1|1|3|3|||0|0|3|3|0|0|0|0|0,5|1|0,3|1|0|0|||||2|2|0|0|1|1|||10,8
U1016-18|4|4|||||2|2|3|3|0|0|1|1|||0,3|1|0|0|||||1|1|0|0|1|1|||12,3
U1016-19|2|2|1|1|||1|1|2|2|0|0|0|0|||0|0|0|0|||||1,75|2|0|0|0|0|||7,75
U1016-2|2|2|2|2|||2|2|2|2|0|0|1|1|||0|0|0|0|||||1|1|0|0|1|1|||11
U1016-20|2|2|1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|1|1|||1|1|0|0|0|0|||5
U1016-21|2|2|2|2|||1|1|0|0|0|0|1|1|0,5|1|1,2|4|0|0|||||4|4|0|0|4,5|5|||16,2
U1016-22|2|2|1|1|||1|1|2|2|0|0|5|5|||0,5|2|0|0|||||3|3|0|0|2|2|||16,5
U1016-23|2|2|||||0|0|3|3|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||7,5
U1016-24|4|4|1|1|||0|0|6|6|0|0|1|1|||0,3|1|0|0|||||1,9|2|0|0|1|1|||15,2
U1016-25|1|1|||||0|0|0|0|0|0|0|0|||0,9|3|0|0|||||2|2|0|0|0|0|||3,9
U1016-26|3|3|1|1|||0|0|2|2|0|0|1|1|||0|0|0|0|||1|1|1,8|2|0|0|0|0|||9,8
U1016-27|||2|2|||0|0|1|1|0|0|0|0|||0|0|0|0|||1|1|1|1|0|0|0|0|||5
U1016-28|3,7|4|2|2|||0|0|5|5|0|0|1|1|0,5|1|1,95|7|0|1|1|1|||1,8|2|0|0|0,5|1|||17,45
U1016-29|3|3|3|3|||0|0|10|10|0|0|1|1|||1,8|6|1|1|1|1|1|1|0|0|0|0|4|4|||25,8
U1016-3|||1|1|||0|0|1|1|0|0|1|1|||0,3|1|0|0|||||3|3|0|0|0|0|||6,3
U1016-30|||||||0|0|2|2|0|0|0|0|0,5|1|4,4|10|1|1|||1|1|2,5|3|0|0|1|1|||12,4
U1016-31|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1016-32|||||||2|2|3|3|0|0|0|0|0,5|1|0,8|2|0|0|||||1|1|0|0|1|1|||8,3
U1016-33|||1|1|||0|0|1|1|0|0|1|1|||0|0|0|0|||||1|1|0|0|1|1|||5
U1016-35|1|1|||||0|0|1|1|0|0|0|0|||0|0|0|0|1|1|||0|0|0|0|3|3|||6
U1016-36|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U1016-37|1|1|||||0|0|1|1|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||4
U1016-4|||1|1|||2|2|0|0|0|0|0|0|||0,6|2|0|0|||||1|1|0|0|0|0|||4,6
U1016-5|||||||0|0|2|2|0|0|0|0|||0,9|3|0,5|1|||||1|1|0|0|0|0|||4,4
U1016-6|1|1|1,5|2|||0|0|2|2|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||6,5
U1016-7|1|1|1|1|||0|0|1|1|0|0|0|0|||0,9|3|0|0|||||3|3|0|0|0|0|||6,9
U1016-8|1|1|1|1|||0|0|0|0|0|0|1|1|0,5|1|0,3|1|0|0|||||1,8|2|0|0|0|0|||5,6
U1016-9|||2|2|||1|1|2|2|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||6
U1018-1|||||||2|2|9|9|0|0|0|0|0,7|2|6,05|7|6,5|7|||||1|1|0|0|0|0|||25,25
U1018-2|2,7|3|||||1|1|2|2|0,4|1|3|3|||2|2|2,7|3|1|1|||3|3|0|0|2,5|3|||20,3
U1018-3|2|2|||0,8|1|0|0|2|2|0|0|0|0|||3,65|10|2|2|2|2|||12|12|4|4|12|12|1|1|41,45
U1018-4|1|1|||||1|1|4|4|0|0|0|0|||3,55|14|1|4|1|1|||2|2|0|0|0|0|||13,55
U1018-5|3|3|||||0|0|4,5|5|0|0|1|1|||0,6|2|0|0|||||3|3|0|0|9|9|||21,1
U1018-6|2,5|3|||0,4|2|2|2|8|9|0|0|1,2|2|1,1|4|0,1|1|0,7|3|||||1|1|0|0|0|0|||17
U1018-7|4|4|||||0|0|3|3|0|0|1|1|||0|0|0|0|||||1|1|1|1|1|1|||11
U1018-8|4|4|||||1|1|8|8|1|1|1|1|||0,5|3|4,2|5|1|1|||12,8|13|1|1|5|5|||39,5
U1019-1|||1|1|||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||||2|2|0|0|0|0|||4,5
U1019-11|1|1|1|1|||0|0|0|0|0|0|0|0|||0,3|1|0|0|||||2,9|3|0|0|0|0|||5,2
U1019-12|4|4|2|2|||1|1|4|4|0|0|2|2|0,5|1|0,7|3|0|0|||||4,8|5|0|0|0|0|||19
U1019-13|2,8|3|1|1|||0|0|3|3|0|0|0|0|0,5|1|1,5|8|1|1|||||4,8|5|0|0|0|0|||14,6
U1019-16|1|1|||1|1|1|1|0|0|0|0|0|0|||0|0|0|0|||||1|1|1|1|0|0|||5
U1019-5|||6|6|||1|1|4|4|0|0|0|0|1|2|0,3|1|0|0|0,9|1|1|1|3|3|0|0|1|1|||18,2
U1019-6|2|2|||||1|1|1|1|0|0|0|0|0,5|1|0,6|2|0|0|||||2|2|0|0|0|0|||7,1
U1019-7|1|1|||||2|2|0|0|0|0|2|2|||0|0|0|0|||||3|3|0|0|1|1|||9
U1019-8|4,5|5|3|3|1|1|4|4|3|3|0|0|0|0|0,5|1|0,3|1|0|0|1|1|1|1|3|3|0|0|2|2|||23,3
U1019-9|1|1|0,6|1|||0|0|1|1|0|0|1|1|0,85|2|0|0|0|0|1|1|1|1|3|3|0|0|1|1|||10,45
U1021-1|2,7|3|1|1|||0|0|2|2|0|0|0|0|||0|0|0|0|||||1|1|0|0|1|1|||7,7
U1021-2|1|1|1|1|||1|1|3|3|0|0|1|1|0,5|1|0,5|1|1|2|||||0|0|1|1|0|0|||10
U1021-3|2|2|||||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||1|1|1|1|0|0|0|0|||5,5
U1021-5|||||||1|1|3|3|0|0|0|0|1|2|0,5|1|0|0|||||1|1|0|0|0|0|||6,5
U1021-6|||3|3|||0|0|5|5|0|0|1|1|0,5|1|0,7|2|1,2|3|||1|1|3|3|0|0|2|2|||17,4
U1021-7|||1|1|||3|3|2|2|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||7
U1021-8|||||||0|0|0|0|0|0|2|2|||0|0|0|0|||||0|0|0|0|0|0|||2
U1022-1|||3|3|||0|0|5|5|0|0|0|0|3,5|7|0|0|0|0|||||0|0|0|0|0|0|||11,5
U1022-2|||2|2|||0|0|7|7|0|0|0|0|3|6|0,3|1|0,5|1|||||1,8|2|0|0|1|1|||15,6
U1022-3|||2,5|3|||0|0|2|2|0|0|0|0|4|8|0,6|2|0,5|2|||||1,5|2|0|0|0|0|||11,1
U1022-4|||||||0|0|0|0|0|0|0|0|0,5|1|0,2|1|0,5|1|||||2|2|0|0|0|0|||3,2
U1023-1|1,8|2|1|1|1|1|2|2|7|7|0|0|0,3|1|||1|4|12,1|14|1|1|1|1|13,2|16|1|1|1|1|||43,4
U1024-1|||2|2|||0|0|1|1|0|0|0|0|||0|0|0|0|||||0,8|1|0|0|0|0|||3,8
U1024-10|||1|1|||0|0|3|3|0|0|0|0|||0|0|0|1|||||1|1|0|0|1|1|||6
U1024-11|||1|1|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|1|1|||3,5
U1024-12|1|1|1|1|||0|0|1|1|0|0|1|1|||0|0|0|0|||||0,8|1|0|0|0|0|||4,8
U1024-13|1|1|2|2|||0|0|3|3|0|0|0|0|||0|0|0,5|1|||1|1|0|0|0|0|0|0|||7,5
U1024-14|3|3|1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||5
U1024-15|1|1|||||1|1|2|2|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||6
U1024-16|3|3|1|1|||3|3|3|3|0|0|2|2|0,5|1|0|0|0|0|1|1|||1|1|0|0|0|0|||14,5
U1024-17|||1|1|||0|0|2|2|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||5,5
U1024-18|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1024-19|||||||1|1|2|2|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||5,5
U1024-2|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1024-20|1|1|1|1|||0|0|4|4|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||6
U1024-21|2|2|||||0|0|2|2|0|0|4|4|0,5|1|0|0|0|0|||1|1|0|0|0|0|0|0|||9,5
U1024-22|2|2|1|1|||2|2|3|3|0|0|0|0|||0|0|0|0|||||1|1|1|1|1|1|||11
U1024-23|||||||1|1|1|1|0|0|0|0|2|4|0|0|0|0|||||0|0|0|0|2|2|||6
U1024-24|||2|2|||2|2|2|2|0|0|3|3|0,5|1|0|0|0|0|||||0|0|0|0|3|3|||12,5
U1024-25|||||1|1|0|0|0,5|1|0|0|2|2|||0|0|0|0|||||0|0|0|0|1|1|||4,5
U1024-3|||3|3|||1|1|4|4|0|0|0|0|||0|0|0|0|||||1|1|0|0|1|1|||10
U1024-4|||3|3|||2|2|4|4|0|0|6|6|1|2|0|0|0|1|||||1|1|3|3|1|1|||21
U1024-5|1|1|2|2|||0|0|1|1|0|0|1|1|0|1|0|0|0|0|||||0|0|1|1|2|2|||8
U1024-6|||3|3|||1|1|2|2|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|1|1|||8,5
U1024-7|3|3|||||1|1|1|1|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||6
U1024-8|2|2|||||1|1|1|1|0|0|1|1|||0|0|0|0|||||1|1|0|0|1|1|||7
U1024-9|2|2|1|1|||1|1|1|1|0|0|3|3|||0|0|0|0|||||1|1|0|0|0|0|||9
U1026-1|4|4|2|2|||0|0|9|9|0|0|0|0|1,5|3|4,5|13|3,3|4|1|1|1|1|6,4|8|3|3|0|0|0,4|1|36,1
U1027-1|||||||2,5|3|10|10|0|0|0,1|1|0,2|1|6,55|20|4,6|7|||||0,5|1|1|1|0|0|||25,45
U1027-2|1|1|||||3|3|4|4|0,5|1|1,5|2|||2,8|11|1,3|2|||1|1|2,2|3|0|0|0|0|||17,3
U1027-3|1|1|||||0|0|5|5|0,5|1|1|1|1|2|1,1|4|1|3|||0,5|1|2,5|3|0|0|1|1|||14,6
U1027-4|2|2|||||2|2|2|2|0|0|1|1|0,3|1|3,7|14|2|2|||0,5|1|2|2|0|0|1|1|||16,5
U1028-1|7,8|8|2|2|||2|2|19,5|20|0|0|4|4|1,5|3|3,5|8|1,2|3|2,8|3|1|1|8,5|9|1|1|11|11|||65,8
U1028-10|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1028-11|||2|2|||0|0|2|2|0|0|0|0|||2,5|6|0,25|1|||||2|2|0|0|0|0|||8,75
U1028-12|||4|4|||0|0|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||6
U1028-13|1|1|||||0|0|2|2|0|0|1|1|||0,8|3|0|0|||||1,8|2|0|0|3|3|||9,6
U1028-14|1|1|||||0|0|1|1|0|0|0|0|||2,7|7|0|0|||||1|1|0|0|2|2|||7,7
U1028-15|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1028-2|||4|4|||1|1|4|4|1|1|0|0|1,5|3|0|0|1|1|||2,6|3|4,4|5|0|0|0|0|||19,5
U1028-3|2|2|||||0|0|2|2|0|0|1|1|||3,15|13|0|0|||1|1|1,3|3|0|0|1|1|||11,45
U1028-4|||10,6|11|||0|0|0|0|1|1|0|0|2|4|0|0|0|2|||2,6|3|4,4|5|0|0|1|1|||21,6
U1028-5|5|5|1|1|||3|3|3|3|0|0|1|1|||1,7|7|0|0|||1|1|6,8|7|0|0|0|0|||22,5
U1028-6|1|1|4|4|||0|0|4|4|0|0|0|0|||0|0|0|0|||1|1|3,8|4|0|0|0|0|||13,8
U1028-7|2|2|6|6|||1|1|10|10|1|1|2|2|1,5|3|3,45|9|3,2|4|2|2|||7|7|0|0|1,5|2|||40,65
U1028-8|1|1|1|1|||0|0|4|4|0|0|1|1|1,5|3|3,5|5|1|1|||||4|4|0|0|0|0|||17
U1028-9|||3|3|||0|0|1|1|1|1|1|1|0,5|1|0,35|1|0|0|||2,6|3|3,6|4|0|0|0|0|||13,05
U1029-1|4|4|||||2|2|2|2|0|0|4|4|3|5|1,3|5|0|0|||1|1|4|4|0|0|3|3|||24,3
U1030-1|1|1|1|1|||3|3|5|5|0|0|2,5|3|0,5|1|2,4|8|2|2|||||5|5|0|0|0|0|||22,4
U1031-1|1|1|4|4|||1|1|3|3|0|0|0|0|2,5|5|0,6|2|0|0|1|1|0,8|1|5,1|6|0|0|2|2|||21
U1031-2|1|1|||||1|1|1|1|0|0|0|0|||0|0|4,1|5|||||3|3|0|0|0|0|||10,1
U1032-1|6|6|1|1|||1|1|14|14|0|0|2|2|1,5|3|3,05|12|3,35|5|1|1|||6,65|7|0|0|1|1|||40,55
U1033-1|3|3|||||0|0|0|0|0|0|0|0|||2,8|9|1,3|4|1,9|2|||7,8|8|0|0|0|0|||16,8
U1033-2|2|2|2|2|||1|1|4|4|0|0|0|0|0,5|1|0,9|4|1|1|||||3,8|4|0|0|0|0|||15,2
U1033-3|1|1|1|1|||0|0|1|1|0|0|0|0|||0,3|1|0|0|||||2|2|0|0|0|0|||5,3
U1034-1|3|3|||||0|0|2|2|0|0|0|0|3|6|2,75|13|0,1|1|||||4,65|6|0|0|2|2|||17,5
U1035-1|||||||0|0|2|2|0|0|0|0|||3,4|9|0|2|||||3,7|4|0|0|0|0|||9,1
U1035-2|1|1|||||0|0|2|2|0|0|0|0|1,5|3|6,3|10|3|3|||||5|5|0|0|0|0|||18,8
U1035-3|||||||0|0|1|1|0|0|0|0|1|2|0,3|1|0|0|||||2|2|0|0|0|0|||4,3
U1035-4|1|1|||||0|0|1|1|1|1|0|0|||5|8|0|0|||||2|2|0|0|0|0|||10
U1035-5|1|1|1|1|||1|1|1|1|0|0|0|0|3|6|0|0|0|0|||||1|1|0|0|1|1|||9
U1036-1|||2|2|1|1|1|1|5|5|0|0|0|0|0,5|1|0|0|2|2|||||3|3|0|0|1|1|||15,5
U1036-2|3|3|||||0|0|2|2|0|0|0|0|1|2|0|0|0|0|1|1|||1,8|2|0|0|0|0|||8,8
U1036-3|3|3|1|1|||1|1|2|2|0|0|0|0|||1,2|4|1|2|||||2,9|3|0|0|1|1|||13,1
U1037-10|3|3|||||0|0|4|4|0|0|0|0|||2,6|8|0|0|||||1,5|2|0|0|1|1|||12,1
U1037-11|1|1|||||0|0|2|2|0|0|1|1|1|2|1,5|5|0,8|2|1|1|||2|2|0|0|0|0|||10,3
U1037-12|1|1|1|1|||2|2|2|2|0|0|2|2|||1,6|4|0|1|||||1,3|2|0|0|0|0|||10,9
U1037-13|1|1|||||0|0|0|0|0|0|0|0|||1,5|5|1|1|||||6|6|0|0|1|1|||10,5
U1037-14|1|1|1|1|||0|0|4|4|0|0|2|2|0,5|1|1,4|4|0,3|1|||||0|0|0|0|0|0|||10,2
U1037-15|||||||0|0|2|2|0|0|1|1|1|2|1,3|3|2|2|||||5|5|0|0|0|0|||12,3
U1037-16|1|1|||||0|0|0|0|0|0|0|0|||1,1|3|0|0|||||1|1|0|0|5|5|||8,1
U1037-17|2|2|||||1|1|5|5|0|0|1|1|||1,2|4|0|0|||||1|1|1|1|2|2|||14,2
U1037-18|1|1|||||0|0|2|2|0|0|1|1|1|2|0|0|0|0|||||1|1|0|0|0|0|||6
U1037-2|2|2|2|2|||0|0|1|1|0|0|1|1|||0,3|1|1,5|2|||1|1|0|0|0|0|1|1|||9,8
U1037-3|2|2|||||0|0|2|2|0|0|2|2|2,5|5|2,2|5|1|2|||||4|6|0|0|1|1|||16,7
U1037-4|1|1|1|1|||0|0|6|6|0|0|1|1|1,5|3|1,1|3|0|0|||||2,4|3|0|0|1|1|||15
U1037-6|4|4|||||0|0|2|2|0|0|1|1|1|2|0,6|2|0|0|||||2|2|1|1|1|1|||12,6
U1037-7|1,9|2|1|1|||0|0|4|4|0|0|1|1|0,5|1|1,3|3|0|0|||||3|3|0|0|2|2|||14,7
U1037-8|1|1|5|5|||0|0|4|4|0|0|0|0|||0,6|2|0|0|||||0|0|0|0|1|1|||11,6
U1037-9|2|2|2|2|||1|1|1|1|0|0|2|2|||0,6|2|0|0|||||1,9|2|0|0|3|3|||13,5
U1038-1|||2|2|||1|1|2|2|0|0|0|0|||0|0|2,8|3|||1|1|10,8|11|0|0|0|0|||19,6
U1038-2|1|1|||||0|0|1|1|0|0|0|0|||0|0|3|3|||||5|5|0|0|0|0|||10
U1038-3|||2|2|||1|1|0|0|0|0|1|1|||0|0|8,8|9|2,8|3|||9,6|10|0|0|5|5|||30,2
U1039-1|4,8|5|||||1|1|2|2|0|0|1|1|0,5|1|5,2|16|2|2|||||3|3|0|0|0|0|||19,5
U1041-1|||||1|1|2|2|1|1|0|0|0|0|1|1|0|0|0|0|||||2|2|0|0|0|0|||7
U1042-1|3|3|||||0|0|0|0|0|0|0,5|1|5,8|12|7,1|23|5|5|1|1|||4|4|0|0|0|0|||26,4
