code|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_PP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP
U900|2|2|||||6|6|10,5|11|0,35|2|0|0|||0|0|7,45|9|3|4|16,3|17|19,5|20|0|0|4|4||
U908|1|1|||||1|1|9|9|0|0|0|0|2,5|5|0,7|3|1|1|||||6|6|0|0|1|1||
U932|8,9|9|2,9|3|||13,5|14|6|6|0|0|1|1|||0,9|1|1|1|1|1|1|2|9,55|10|0|0|2|2||
U933|1|1|||||0|0|3|3|1|1|3|3|0,5|1|4,45|13|1,3|2|||||2,8|4|5|5|6|6||
U934|8|8|8|8|||23|23|8,5|9|0|0|0|0|1,5|2|0,3|1|0|0|||6|6|18,5|19|0|0|0|0||
U935|4|4|||1|1|0|0|5|5|0|0|1|1|0,5|1|4,7|10|0,6|1|||||2,8|3|0|0|1|1||
U938|19,7|20|6|6|||2,6|3|9|10|7|7|1|1|6,15|13|27,15|93|2|12|3|3|2|2|37,8|41|0|0|4|4||
U941|1|1|||||0|0|1|1|0|0|0|0|||2,8|8|0|0|||||2|2|0|0|0|0||
U942|2|2|0,8|1|||1|1|5,45|6|0|0|1|1|0,6|2|11,5|30|5,3|7|1|1|||7,3|8|0|0|1|1||
U944|7|7|7|7|||4|4|5|5|0|0|4|4|3|6|2,3|6|0|0|||2|2|14,8|15|0|0|1|1||
U946|5|5|||||0|0|3|3|0|0|1|1|||0,3|1|1|1|1|1|||1,8|2|0|0|0|0||
U951|2|3|1|1|||11|11|10,5|11|0|0|1|1|2|4|0|0|6|6|||||21,8|22|0|0|1|1||
U955|13|13|9|10|||6,5|8|19,25|20|5|5|11|11|15,5|35|40,35|123|16,3|26|4|4|8,9|9|48,5|54|1|1|15,5|17|3,1|4
U958|1|1|||||0|0|0|0|0|0|0|0|0,5|1|0,9|4|0|0|0,8|1|1|1|2|2|0|0|0|0||
U959|||1|1|||3|4|3|3|0|0|0|0|0,8|2|2,5|7|1,25|4|||1|1|4,5|7|0|0|0,5|1||
U960|4|4|5|5|||10|10|21|21|0|0|2|2|||0|0|1|1|||||4,5|5|0|0|3|3||
U965|||1|1|||0|0|6|6|0|0|1|1|0,25|1|6,4|14|10,6|12|||||1|1|0|0|0|0||
U967|4|4|||||3|3|20|20|1|1|4|4|3|6|0,3|1|31|32|||||13|13|1|1|3|3||
U968|11,85|12|7,2|8|||20|20|36|36|4|4|1|1|4|8|3,85|10|1|1|1|1|4|4|38|38|0|0|2|2|1|1
U970|18|18|1|1|||2|2|27|27|0|0|14|14|1|2|30,65|93|4,7|6|||5|5|16,1|18|0|0|18,8|19|1,4|2
U973|3|3|1|1|||0|0|6|6|0|0|2|2|4|8|0|0|0,5|1|1|1|1|1|2|2|0|0|1|1||
U974|12|12|6|6|||8|8|24|24|1|1|2,05|3|0,6|2|1,6|10|8,5|11|||||15,2|16|1|1|4|4||
U976|9|9|2|2|||0|0|2|2|1|1|1|1|||3,9|13|0,3|3|1|1|||11,6|12|0|0|0|0||
U978|3|3|||||1|1|4|4|0|0|0|0|2|4|1,4|7|0|0|||1|1|3|3|0|0|0|0||
U979|3|3|3|3|||0|0|6|6|1|1|4|4|3,5|7|0|0|1|1|||1|1|0|0|0|0|0|0||
U981|4|4|3|3|||12|12|10|10|0|0|1|1|1|2|8,25|9|3|3|||||23|23|0|0|3|3|1|1
U987|1|1|||||0|0|1|1|0|0|1|1|||3,1|8|0|0|1|1|||2|2|0|0|0|0||
U988|9,8|10|9|9|||8|8|24|24|0|0|1|1|5|10|0|0|2|7|2|2|||9,8|10|0|0|1|1||
U992|4,8|5|2|2|||10|10|10|10|0|0|2|2|1|1|0,3|1|2,5|3|2,5|3|||4,8|5|0|0|4|4||
U993|1|1|1|1|2|2|7|7|4|4|0|0|0|0|||0|0|0|1|||||3|3|0|0|0|0||
U994|1|1|||||2|2|0|0|0|0|0|0|||0|0|1|1|||||3|3|0|0|0|0||
U995|5|5|||||1|1|15|15|0,3|1|0|0|8,75|17|10,55|30|2,5|5|||7|7|24,1|26|0|0|3|3|0,9|1
U996|4|4|||||1|1|13|13|0|0|2|2|3|6|3,75|14|1|2|||||4,5|5|0|0|4|4||
U997|1|1|23|23|||9|9|1,5|2|0|0|1|1|13,5|27|0,6|2|3|4|||||5,8|6|0|0|0|0||
U999|4|4|0,5|1|||2|2|7,5|8|1|1|2|2|0,5|1|10,4|26|7|8|||1,75|2|7|7|0|0|1|1||
US1|0,1|1|||||0|0|0|0|0|0|0|0|||0|0|1|1|||2|2|14,8|15|0|0|1|1||
US10|||||||0|0|1|1|0|0|0|0|||0|0|0|0|2|2|||10,6|11|0|0|3,9|4||
US11|||||||3|3|0,3|1|2|2|2|2|||2,1|5|3,1|5|1|1|||10|10|0,8|1|9,4|10|1|1
US12|||0,6|3|||1|1|0|0|1|1|2|2|||0|0|0|0|2|2|1|1|13,4|14|0|0|8|9||
US13|0,5|1|||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|2|2|2|2||
US14|||||||0|0|0|0|2|2|0|0|||0|0|0|0|15|15|||2|2|15|15|9|9||
US15|||||||0|0|0|0|1|1|0|0|||0|0|0|0|1|1|||0|0|7|7|4|4||
US16|0,2|2|||||0|0|0|0|0|0|0|0|0,1|1|0,3|1|0|0|0,5|1|2,7|3|6,7|8|0|0|8,5|11|1,2|2
US17|0,3|1|||||0|0|0|0|0|0|0|0|||0,6|2|0|0|2,45|3|2,6|4|5,05|6|0|0|0|0||
US18|||||||0|0|0,5|1|0|0|0|0|0,25|1|0|0|0|0|||4|4|11,2|13|4|4|5,8|6||
US19|||||||0|0|0|0|0|0|0|0|||0,2|2|1|1|10|10|||15,6|17|0|0|0|0||
US2|0,2|1|||1,7|2|0|0|0|0|0|0|0|0|0,3|1|0|0|0,9|2|1|1|1|1|3,8|6|0|0|7|7||
US20|1|1|||||0|0|0|0|0|0|0|0|||0,15|1|0,1|1|1|1|||1,8|2|0|0|0|0||
US21|||||1|1|0|0|0|0|0|0|0|0|||0|0|0|0|||1|1|1|1|0|0|9|9||
US22|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|1|||||0|0|0|0|0|0||
US23|||||||0|0|0|0|0|0|0|0|||0,1|1|0|0|1|1|0,7|1|14|14|0|0|0|0||
US24|||0,25|1|||0|0|0|0|0|0|0|0|||0|0|0|0|5|5|1|1|23,2|24|0,5|1|5|5||
US25|||0,5|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||12|12|0|0|1|1||
US26|||||0,5|1|0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0||
US27|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|2|2|||2|2|0|0|0|0||
US28|||||||0|0|0|0|0|0|0|0|||0|0|0|0|2|2|1|1|28,3|30|0|0|0|0||
US29|0,15|1|||||0|0|0|0|0|0|0|0|0,25|1|0,25|2|0|0|1|1|2|2|3,6|4|0|0|0|0||
US3|2|2|||||0|0|0|0|0|0|0|0|||0|0|0|0|3|3|||10|10|0|0|4|4||
US30|||||||0|0|0|0|0|0|0|0|0,1|1|0,3|3|0|0|||1|1|5|5|0|0|1|1||
US31|0,3|1|0,2|1|||0|0|0|0|0|0|0|0|||0|0|0|0|4|4|||11,9|12|0|0|0|0||
US32|0,4|2|||||0|0|0|0|0|0|0|0|||0|0|0|0|||1|1|5,25|7|0|0|0|0||
US33|0,5|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|1|1|1|1|9,25|10|1|1|1|1||
US34|||||||0|0|0|0|0|0|0|0|||0,1|1|0|0|||||0|0|0|0|0|0||
US35|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0||
US4|||0,45|2|0,7|2|0|0|0|0|0|0|0|0|0,15|1|0|0|0|0|2|2|4,5|5|5,3|6|0|0|1|1||
US5|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|1|1|||5,7|6|0|0|0|0||
US6|||0,5|1|||0|0|0|0|0|0|0|0|||0|0|0|0|3|3|0,5|1|42,3|43|0|0|2,8|3||
US7|0,1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|1|1|5|5|23|23|0|0|0|0|1|1
US8|0,2|1|0,6|3|||0|0|0|0|0|0|0|0|||0|0|0|0|1,8|2|3,5|4|24,1|26|0|0|0|0||
US9|||0,3|1|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|2|2|3,9|4|17,8|18|2|2|20|21||

